number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,state,rmse
80,0.07284159245540812,2026-07-27 05:13:27.377245,2026-07-27 05:13:35.508589,0 days 00:00:08.131344,0.7812677892694553,254,5,3.3896476925411636,0.010634686855533822,5,0.5407110828129601,COMPLETE,0.2698918162068056
133,0.07284179635446597,2026-07-27 05:23:43.255544,2026-07-27 05:23:55.646894,0 days 00:00:12.391350,0.9180422928809314,254,6,1.623447203152236,0.010036339046658927,33,1.3499780567519146,COMPLETE,0.26989219394874314
22,0.07284210072964667,2026-07-27 05:05:24.272062,2026-07-27 05:05:32.763148,0 days 00:00:08.491086,0.8370511837849888,254,5,4.017821917628461,0.012484257165454978,18,1.0399094578163837,COMPLETE,0.2698927578310442
78,0.07284278183703088,2026-07-27 05:13:09.600730,2026-07-27 05:13:19.411741,0 days 00:00:09.811011,0.8787692767114471,254,6,2.030426424489353,0.011730309714262992,7,1.0686638226206886,COMPLETE,0.2698940196392482
24,0.07284293480679553,2026-07-27 05:05:40.247718,2026-07-27 05:05:47.874165,0 days 00:00:07.626447,0.8501157977498818,254,5,6.0596341552255755,0.01353500702626081,10,0.9648337583567305,COMPLETE,0.269894303027677
143,0.07284298010564631,2026-07-27 05:25:46.073130,2026-07-27 05:25:57.981030,0 days 00:00:11.907900,0.929177876149884,254,6,1.4323976596266936,0.011291892307225385,34,1.6638469362147295,COMPLETE,0.2698943869472767
52,0.07284355404144598,2026-07-27 05:09:08.658096,2026-07-27 05:09:16.723759,0 days 00:00:08.065663,0.8005550503322226,254,5,4.93892085899137,0.012379512218876496,14,0.9802809837255974,COMPLETE,0.26989545020516
156,0.07284411836163666,2026-07-27 05:28:17.007593,2026-07-27 05:28:28.991315,0 days 00:00:11.983722,0.865866365224936,254,6,2.542427577961963,0.01089524750535269,32,1.444625010113767,COMPLETE,0.269896495645343
128,0.07284449108273634,2026-07-27 05:22:41.968293,2026-07-27 05:22:52.282308,0 days 00:00:10.314015,0.9513430625373437,254,6,2.076072178765986,0.011587008058389324,38,1.1238355958368926,COMPLETE,0.269897186133417
184,0.072844669413609,2026-07-27 05:34:33.127229,2026-07-27 05:34:43.815296,0 days 00:00:10.688067,0.8762064916054859,254,6,1.5004881029978978,0.010405501360249187,26,1.2930404088822027,COMPLETE,0.26989751650137317
111,0.07284514488311128,2026-07-27 05:19:04.618794,2026-07-27 05:19:17.570764,0 days 00:00:12.951970,0.8028970970477615,254,6,2.337521243270646,0.010789812426120314,3,2.008325799468166,COMPLETE,0.26989839733335075
61,0.07284596531191345,2026-07-27 05:10:21.400636,2026-07-27 05:10:28.697634,0 days 00:00:07.296998,0.741924404207533,254,5,6.244454053725848,0.013347644080980794,8,0.8685914563937681,COMPLETE,0.26989991721360984
142,0.07284738330712179,2026-07-27 05:25:33.140775,2026-07-27 05:25:46.064010,0 days 00:00:12.923235,0.8707473124714807,254,6,1.8929193217258646,0.01059458916221498,35,1.9578708153736617,COMPLETE,0.26990254409160686
84,0.07284827944382025,2026-07-27 05:13:59.390948,2026-07-27 05:14:08.405806,0 days 00:00:09.014858,0.7492917786331126,254,5,4.4549415314289265,0.011729102498834685,47,1.2403066854531921,COMPLETE,0.2699042041981196
88,0.07284893025346639,2026-07-27 05:14:23.428735,2026-07-27 05:14:34.715689,0 days 00:00:11.286954,0.8274339635340732,254,6,7.786441104160216,0.01239751678134864,2,1.5733151076417464,COMPLETE,0.26990540982623223
136,0.0728492348131286,2026-07-27 05:24:19.909650,2026-07-27 05:24:29.008001,0 days 00:00:09.098351,0.9366777845884157,254,6,1.2829621367939528,0.01246176323749663,42,1.1939540983182384,COMPLETE,0.2699059740226744
55,0.07284930193825252,2026-07-27 05:09:33.444766,2026-07-27 05:09:41.027723,0 days 00:00:07.582957,0.962732359218655,254,6,4.413260177272827,0.014726096777590701,11,0.6674038606157806,COMPLETE,0.2699060983717347
138,0.07284937505177877,2026-07-27 05:24:41.092839,2026-07-27 05:24:53.159890,0 days 00:00:12.067051,0.9612775043825065,254,6,1.5468734055768325,0.010843838901953205,31,1.6394646328419995,COMPLETE,0.2699062338142244
153,0.07285002103982115,2026-07-27 05:27:38.929267,2026-07-27 05:27:50.245748,0 days 00:00:11.316481,0.8346924453499703,254,6,1.9784299402861671,0.01106361374697797,34,1.558503241515406,COMPLETE,0.26990743050131305
53,0.07285193974566158,2026-07-27 05:09:16.732267,2026-07-27 05:09:24.765177,0 days 00:00:08.032910,0.8077209136023519,254,5,4.722470917579213,0.01214649786903781,14,1.057552374446349,COMPLETE,0.2699109848554919
64,0.07285310927933956,2026-07-27 05:10:46.210698,2026-07-27 05:10:57.697102,0 days 00:00:11.486404,0.7863657160759758,254,5,7.9453596062431835,0.010036985253124034,7,2.109681114400936,COMPLETE,0.2699131513641741
196,0.07285330719601998,2026-07-27 05:38:52.544122,2026-07-27 05:39:02.864125,0 days 00:00:10.320003,0.4488638408714874,254,6,1.546899949642003,0.010608429751995265,28,1.3500400322643142,COMPLETE,0.26991351799422714
