depth,learning_rate,l2_leaf_reg,min_data_in_leaf,random_strength,bagging_temperature,border_count,mean_mse,std_mse
4,0.01,1,20,1,1,128,0.07338826621065726,0.0005120177684718052
4,0.01,1,20,1,1,254,0.07296436747240381,0.0004291843983104427
4,0.01,1,20,3,0,128,0.07351430511833738,0.000514893013093027
4,0.01,1,20,3,0,254,0.0731165217964781,0.0004580248367810174
4,0.01,1,20,3,0.5,128,0.07345275354675654,0.0004972257122524732
4,0.01,1,20,3,0.5,254,0.07306026252760589,0.0004327172555440723
4,0.01,1,20,3,1,128,0.07339833064252406,0.00047908127401721627
4,0.01,1,20,3,1,254,0.07297756261670718,0.0004073629510221344
4,0.01,1,20,5,0,128,0.07353157529362186,0.0005113874498652365
4,0.01,1,20,5,0,254,0.07314986891238037,0.00046369871977630834
4,0.01,1,20,5,0.5,128,0.07347509626535682,0.0004686601433722778
4,0.01,1,20,5,0.5,254,0.07308013081046547,0.0004135731645162378
4,0.01,1,20,5,1,128,0.07341614666834986,0.00046303942994038944
4,0.01,1,20,5,1,254,0.07300044535789205,0.0003976348044858071
4,0.01,3,1,0.5,0,128,0.07355434385713498,0.0005269477896585283
4,0.01,3,1,0.5,0,254,0.07314658464271664,0.0004248077203204383
4,0.01,3,1,0.5,0.5,128,0.07346012240400489,0.0005069905584798063
4,0.01,3,1,0.5,0.5,254,0.0730611920025275,0.00040774550222656106
4,0.01,3,1,0.5,1,128,0.07339284096228171,0.0005300257200848879
4,0.01,3,1,0.5,1,254,0.07299554420082703,0.0004434688740848988
4,0.01,3,1,1,0,128,0.07351138168705205,0.0005238065057919134
4,0.01,3,1,1,0,254,0.0731280238626176,0.00041971612084942047
4,0.01,3,1,1,0.5,128,0.07344856815372829,0.0005071565395454562
4,0.01,3,1,1,0.5,254,0.07306387663972454,0.0004072655616561447
4,0.01,3,1,1,1,128,0.07340596803747981,0.000507741508968898
4,0.01,3,1,1,1,254,0.07299749628757324,0.00041009381322348426
4,0.01,3,1,3,0,128,0.07352675790361275,0.0005153394627322102
4,0.01,3,1,3,0,254,0.07312186351360137,0.0004511521942398858
4,0.01,3,1,3,0.5,128,0.07343739121239486,0.0004718838762274651
4,0.01,3,1,3,0.5,254,0.07305176701999416,0.00039692999580689904
4,0.01,3,1,3,1,128,0.07342114687882934,0.0004727054184145905
4,0.01,3,1,3,1,254,0.07299080713132741,0.0004004904438938137
4,0.01,3,1,5,0,128,0.07353683854405983,0.0005132247645108088
4,0.01,3,1,5,0,254,0.07313827879123207,0.00044020239459926364
4,0.01,3,1,5,0.5,128,0.07349322516700554,0.00046761616681651434
4,0.01,3,1,5,0.5,254,0.07308725737658477,0.0003996121020077895
4,0.01,3,1,5,1,128,0.07343484627697497,0.0004763621065923845
4,0.01,3,1,5,1,254,0.07301872286666869,0.000397627977090098
4,0.01,3,5,0.5,0,128,0.07355434385713498,0.0005269477896585283
4,0.01,3,5,0.5,0,254,0.07314658464271664,0.0004248077203204383
4,0.01,3,5,0.5,0.5,128,0.07346012240400489,0.0005069905584798063
4,0.01,3,5,0.5,0.5,254,0.0730612015012943,0.0004077417096946359
4,0.01,3,5,0.5,1,128,0.07339284096228171,0.0005300257200848879
4,0.01,3,5,0.5,1,254,0.07299554420082703,0.0004434688740848988
4,0.01,3,5,1,0,128,0.07351138168705205,0.0005238065057919134
4,0.01,3,5,1,0,254,0.0731280238626176,0.00041971612084942047
4,0.01,3,5,1,0.5,128,0.07344856815372829,0.0005071565395454562
4,0.01,3,5,1,0.5,254,0.07306166912223988,0.0004079215897265885
4,0.01,3,5,1,1,128,0.07340596803747981,0.000507741508968898
4,0.01,3,5,1,1,254,0.07299749628757324,0.00041009381322348426
4,0.01,3,5,3,0,128,0.07352675790361275,0.0005153394627322102
4,0.01,3,5,3,0,254,0.07312186351360137,0.0004511521942398858
4,0.01,3,5,3,0.5,128,0.07343739121239486,0.0004718838762274651
4,0.01,3,5,3,0.5,254,0.07305222487914757,0.0003964270647643988
4,0.01,3,5,3,1,128,0.07342119046635867,0.000472662679173404
4,0.01,3,5,3,1,254,0.07299081837910636,0.00040047801829290816
4,0.01,3,5,5,0,128,0.07353683854405983,0.0005132247645108088
4,0.01,3,5,5,0,254,0.07313827879123207,0.00044020239459926364
4,0.01,3,5,5,0.5,128,0.07349124850517409,0.0004689038779559465
4,0.01,3,5,5,0.5,254,0.07308723682934157,0.0003996334836193184
4,0.01,3,5,5,1,128,0.07346482196908818,0.0004918419485514874
4,0.01,3,5,5,1,254,0.07302907132356395,0.00041263943878944653
4,0.01,3,10,0.5,0,128,0.07353693350313001,0.0005522568917658277
4,0.01,3,10,0.5,0,254,0.07315314330426936,0.0004698343028385653
4,0.01,3,10,0.5,0.5,128,0.07344927348889807,0.0005259212113267159
4,0.01,3,10,0.5,0.5,254,0.07305999404248488,0.0004320995890183117
4,0.01,3,10,0.5,1,128,0.073411912726959,0.0005201799926398767
4,0.01,3,10,0.5,1,254,0.07299042082265672,0.0004617882994775474
4,0.01,3,10,1,0,128,0.0735073046603198,0.0005367483100887444
4,0.01,3,10,1,0,254,0.07313585846528067,0.0004492884775163686
4,0.01,3,10,1,0.5,128,0.07345948918003603,0.0005140737588896205
4,0.01,3,10,1,0.5,254,0.07304482181962532,0.0004441044019301613
4,0.01,3,10,1,1,128,0.07340111866734915,0.000513407864120226
4,0.01,3,10,1,1,254,0.07297688392732463,0.00043549915954862344
